,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
13,14,"After-School Programs,Summer Program,Summer Camp",Out of School Time,M.S. 584 M.S. 584 - UPPER ACAD,Brooklyn,Community Counseling and Mediation,(718) 230-5100,OST,130 Rochester Avenue,11213,40.674656,-73.92779399999999
14,15,After-School Programs,Out of School Time,P.S./I.S. 194 P.S./I.S. 194,Bronx,YMCA of Greater New York/Bronx,(347) 934-8146,Elementary,1301 Zerega Avenue,10462,40.835041,-73.845464
15,16,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),John F. Kennedy High School - H.S. 475,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,99 Terrace View Avenue,10463,40.877105,-73.912256
16,17,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,PS 225 - Eileen E Zaglin School,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,1075 Oceanview Avenue,11235,40.579737,-73.956329
17,18,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO,Brooklyn,High School for Dual Language and Asian Studies,(718) 951-5015, High School,911 FLATBUSH AVENUE,11226,40.649786999999996,-73.95855
18,19,After-School Programs,Out of School Time,P.S. 31 WILLIAM T. DAVIS SCHOOL,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 273-4820,Elementary,55 LAYTON AVENUE,10301,40.641595,-74.085135
19,20,"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,U.C.C. Immigration Program,Brooklyn,Highbridge Community Life Center Adult Education and Training,(718) 649-7979,Adults,613 New Lots Avenue,11207,40.664728000000004,-73.886561
20,21,After-School Programs,Beacon,PS 149 ,Queens,Goodwill Industries of Greater NY,718.426.0888,6 and up,93 11 34th Avenue,11372,40.754837,-73.874605
21,22,After-School Programs,Out of School Time,Washington House (High School),Manhattan,Union Settlement Association,(212) 828-6120,High School,1775 Third Avenue,10029,40.786574,-73.94830300000001
22,23,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Cornerstone Academy for Social,Bronx,"Sports and Arts In Schools Foundation, Inc.",(347) 417-8159,OST,3441 Steenwick Avenue,10475,40.883025,-73.830366
23,24,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Amico Court Street Children,Brooklyn,"American Italian Coalition of Organizations, Inc.",(718) 855-1778,Elementary,292 Court Street,11231,40.684137,-73.995053
24,25,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Our Lady of Sorrows School,Queens,Make the Road New York,(718) 651-8427,Middle School,35 34 105th Street,11368,40.754876,-73.863206
25,26,After-School Programs,Out of School Time,P.S. 199 MAURICE FITZGERALD SC,Queens,"Sunnyside Community Service, Inc.",(917) 843-7953,Elementary,39 20 48 AVENUE,11104,40.740088,-73.926214
26,27,After-School Programs,Out of School Time,Kips Bay 2,Bronx,Kips Bay Boys & Girls Club,(718) 824-9090,Elem/MS/HS,550 Balcom Avenue,10465,40.820910999999995,-73.82594300000001
27,28,After-School Programs,Out of School Time,I.S. 174 EUGENE T. MALESKA SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 822-5341,Middle School,456 White Plains Road,10473,40.814833,-73.85658000000001
28,29,"Jobs & Internships,Youth Employment",Summer Youth Employment ,PAL-New South Bx. Center,Bronx,"Police Athletic League, Inc. - Bronx ",718-389-5306,14 to 24,991 Longwood Ave,10459,40.817184999999995,-73.897667
29,30,After-School Programs,Out of School Time,Edward R. Murrow HS,Brooklyn,Midwood Development Corporation,(718) 859-3011,High School,"1600 Avenue
L ",11230,40.620525,-73.959285
30,31,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,August Martin High School,Queens,"Brooklyn Housing & Family Services, Inc.",(718) 523-6868, High School,156 10 Baisley Boulevard,11434,40.675633000000005,-73.783342
31,32,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA SOUNDVIEW HOUSES,Bronx,Directions for our Youth @Soundview Community Center,(718) 378-6246,6 and up,1680 Seward Avenue,10473,40.818369,-73.86895
32,33,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 126 ALBERT SHANKER SCHOOL,Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",(718) 626-1651,OST,31 51 21st Street,11106,40.766264,-73.930709
33,34,After-School Programs,Out of School Time,J.H.S. 217 ROBERT VAN WYCK SCHOOL,Queens,"Queens Community House, Inc",(718) 262-9234,Middle School,85 05 144th Street,11435,40.710024,-73.812508
34,35,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Sunset Park Center,Brooklyn,THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225),(718) 630-7171,Seniors,4520 4th Avenue,11220,40.649111,-74.009845
35,36,"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.E.S. 42 CLAREMONT SCHOOL,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 583-7366,OST,1537 Washington Avenue,10457,40.838288,-73.902987
36,37,After-School Programs,Beacon,Marta Valley HS,Manhattan,"Grand Street Settlement, Inc. ",212.505.6338 ext.21,6 and up,145 Stanton Street,10002,40.720581,-73.98564499999999
37,38,After-School Programs,Teen Action Program,Be'er Hagolah Institutes,Brooklyn,Be'er Hagolah Institutes,718.642.6800 ext.101,13 to 21,671 Louisiana Avenue,11239,40.645638,-73.883643
38,39,After-School Programs,Beacon,MS 158,Queens,"Samuel Field YM - YWHA, Inc. ",718.423.2266,6 and up,46 35 Oceania Street,11361,40.756139000000005,-73.772862
39,40,After-School Programs,Teen Action Program,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL (X473),Bronx,"East Side House, Inc.",718.665.5250 ext.111,13 to 21,701 Saint Anns Avenue,10455,40.81825,-73.91103000000001
40,41,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Chinatown Manpower Project, Inc.",Manhattan,"Chinatown Manpower Project, Inc.",212-571-1690,14 to 24,"70 Mulberry Street
flr ",10013,40.716091999999996,-73.99920300000001
41,42,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Chinese Consolidated Benevolent Asociation of New York,Manhattan,Northern Manhattan   Improvement Corporation,212-822-8319,All Ages,62 Mott St,10013,40.716051,-73.998222
42,43,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 260 BREUCKELEN SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,OST,875 Williams Avenue,11207,40.654030999999996,-73.89485400000001
43,44,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 186 CASTLEWOOD SCHOOL,Queens,"Samuel Field YM & YWHA, Inc.",(718) 225-6750,OST,252 12 72 AVENUE,11426,40.750007000000004,-73.72160699999999
44,45,"After-School Programs,Summer Program,Summer Camp",Out of School Time,East Bronx NAACP,Bronx,"Tremont Crotona Day Care Center, Inc",(718) 617-2900,OST,1113 Colgate Avenue,10472,40.82629,-73.881509
45,46,After-School Programs,Out of School Time,I.S. 125 WOODSIDE SCHOOL,Queens,"Sports and Arts In Schools Foundation, Inc.",(917) 922-5290,Middle School,46 02 47th Avenue,11377,40.741131,-73.918945
46,47,After-School Programs,Out of School Time,P.S. 22 GRANITEVILLE SCHOOL,Staten Island,YMCA of Greater New York/Staten Island YMCA,(718) 556-0521,Elementary,1860 Forest Avenue,10303,40.625369,-74.15097
47,48,After-School Programs,Out of School Time,Dreamyard A.C.T.I.O.N.,Bronx,"Dream Yard Project, Inc.",(718) 588-8007,High School,940 Garrison Avenue,10474,40.818219,-73.890899
48,49,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 252 ARTHUR S SOMMERS (K252),Brooklyn,Neighborhood SHOPP Casa Boricua Senior Center,(347) 417-8120,Middle School,1084 LENOX ROAD,11212,40.658295,-73.920109
49,50,After-School Programs,Teen Action Program,COMMUNITY SCHOOL FOR SOCIAL JUSTICE (X427),Bronx,"Citizens Advice Bureau, Inc.",718.293.0727 ext.204,13 to 21,350 Gerard Avenue,10451,40.815938,-73.930386
50,51,After-School Programs,Out of School Time,I.S. 218 JAMES PETER SINNOTT M,Brooklyn,"Police Athletic League, Inc.",(718) 277-1928,Elementary,370 FOUNTAIN AVENUE,11208,40.670724,-73.874208
51,52,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 96 RICHARD RODGERS SCHOOL,Bronx,Neighborhood Initiatives Development Corporation,(718) 231-9800,OST,650 Waring Avenue,10467,40.861371000000005,-73.86929599999999
52,53,After-School Programs,Out of School Time,P.S. 89 P.S. 89,Manhattan,Manhattan Youth Recreation & Resources Center,(212) 766-1104,Middle School,201 Warren Street,10282,40.716668,-74.013542
53,54,After-School Programs,Out of School Time,P.S. 48 MAPLETON SCHOOL,Brooklyn,Federation of Italian-American Organizations of Brooklyn,(718) 236-3187,Elementary,6015 18th Avenue,11204,40.621871,-73.98739599999999
54,55,After-School Programs,Out of School Time,P.S. 40 GEORGE WASHINGTON,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 455-9445,Elementary,265 Ralph Avenue,11233,40.680463,-73.922264
55,56,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 146 EDWARD,Bronx,New York Junior Tennis League,(718) 842-2685,OST,968 CAULDWELL AVENUE,10456,40.825025,-73.906143
57,58,After-School Programs,Out of School Time,I.S. 117 FRANCIS SCOTT KEY SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 230-5400,Middle School,300 Willoughby Avenue,11205,40.692642,-73.958794
58,59,After-School Programs,Out of School Time,Tottenville HS,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 605-3033,High School,100 Luten Avenue,10312,40.528092,-74.192032
59,60,After-School Programs,Out of School Time,P.S. 24 ANDREW JACKSON SCHOOL,Queens,The Child Center of New York (QCG) ,(718) 445-8176,Elementary,141 11 Holly Avenue,11355,40.751459999999994,-73.817849
60,61,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,Make the Road New York,Staten Island,Make the Road New York,718-727-1222 718 418-7690 X 205 ,Adult,479 Port Richmond Avenue,10302,40.630818,-74.13918699999999
63,64,After-School Programs,Beacon,MS 113,Bronx,Mosholu Montefiore Community Center,718.654.5881,6 and up,3710 Barnes Avenue,10467,40.880873,-73.860904
65,66,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 19 ROBERTO CLEMENTE SCHOO,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,OST,325 3rd Street,11215,40.673426,-73.984553
66,67,After-School Programs,Out of School Time,P.S. 215 LUCRETIA MOTT SCHOOL,Queens,Safe Space,(347) 489-0857,Elementary,535 Briar Place,11691,40.5993,-73.758206
67,68,After-School Programs,Out of School Time,Lower East Side Prep,Manhattan,Chinese American Planning Council,(212) 505-6366,High School,145 Stanton Street,10002,40.720581,-73.98564499999999
68,69,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 149 THE DANNY KAYE SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,OST,700 Sutter Avenue,11207,40.669719,-73.892822
69,70,After-School Programs,Out of School Time,"I.S.  318 I.S. 318 - MATH, SCI",Bronx,Phipps Community Development,(718) 294-8504,Middle School,1919 Prospect Avenue,10457,40.843546,-73.88975500000001
70,71,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA SUMNER HOUSES,Brooklyn,YMCA-Eastern District @Sumner Community Center,(718) 919-4756,6 and up,862 Park Avenue,11206,40.698582,-73.940736
71,72,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Ridgewood Bushwick Youth Center,Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",718.381.9653,High School,1474 Gates Avenue,11237,40.697788,-73.91390600000001
72,73,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,The Arab American Family Support Center,Brooklyn,The Arab American Family Support Center,(718) 643-8000 x 19,16+,150 Court Street,11201,40.688806,-73.992806
73,74,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Bushwick Center 2,Brooklyn,The Salvation Army ,(718) 455-4103,OST,1151 Bushwick Avenue,11221,40.689133,-73.91748299999999
74,75,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 281 JOSEPH B CAVALLARO (K281),Brooklyn,Thessalonia Baptist Church,(718) 236-5266,Middle School,8787 24 AVENUE,11214,40.595341,-73.99345699999999
75,76,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Lafayette Estates,Bronx,Mothers on the Move,(718) 542-0006,Seniors,825 Morrison Avenue,10473,40.820840000000004,-73.872649
76,77,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 124 OSMOND A. CHURCH,Queens,Mercy First,(718) 848-1532,OST,129 15 150th Avenue,11420,40.665058,-73.811701
77,78,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 54 SAMUEL C. BARNES SCHOO,Brooklyn,YMCA of Greater New York/Bedford Stuyvesant,(718) 789-1497,OST,195 SANFORD STREET,11205,40.693018,-73.953034
78,79,After-School Programs,Out of School Time,P.S. 95 EASTWOOD SCHOOL,Queens,YMCA of Greater New York/Jamaica YMCA,(718) 558-0673,Elementary,179 01 90th Avenue,11432,40.710623999999996,-73.783423
79,80,After-School Programs,Teen Action Program,New Settlement Apartments,Bronx,New Settlement Apartments,718.716.8000 ext.116,13 to 21,1512 Townsend Avenue,10452,40.842478,-73.91491500000001
80,81,After-School Programs,Out of School Time,High School for Public Service,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,600 Kingston Avenue,11203,40.658893,-73.942458
81,82,After-School Programs,Out of School Time,City Scholars at Thomas Edison,Queens,The After School Corporation,(646) 943-8766,High School,165 65 84th Avenue,11432,40.715389,-73.80036899999999
82,83,After-School Programs,Out of School Time,PS/IS 25-Eubie Blake (ES),Brooklyn,CAMBA  ,(718) 573-7593,Elementary,787 Lafayette Avenue,11221,40.691037,-73.941342
83,84,After-School Programs,Out of School Time,Dyckman Community Center,Manhattan,YM-YWHA of Washington Heights Inwood,(212) 569-6200,Elementary,3782 10th Avenue,10034,40.861366,-73.921207
85,86,After-School Programs,Out of School Time,P.S. 123 P.S. 123,Queens,Safe Space,(347) 678-6437,Elementary,145 01 119th Avenue,11436,40.678296,-73.79562
86,87,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,The Child Center,Queens,Community Mediation Services,(718) 458-4243, High School,115 15 Sutphin Blvd,11434,40.68439,-73.79263
87,88,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 72 DR. WILLIAM P. DORNEY,Bronx,"Directions For Our Youth, Inc.",(212) 362-4020,Elementary,2951 DEWEY AVENUE,10465,40.822604,-73.818247
88,89,After-School Programs,Out of School Time,RALPH J MCKEE CAREER TECHNICAL,Staten Island,New York Center for Interpersonal Development,(718) 947-4122,High School,290 St Mark's Place,10301,40.642793,-74.07873000000001
89,90,After-School Programs,Teen Action Program,JHS 126 - John Ericsson,Brooklyn,Aspira of New York,212.564.6880 ext.115,13 to 21,424 Leonard Street,11222,40.719819,-73.948625
90,91,After-School Programs,Out of School Time,H.S. 427 COMMUNITY SCHOOL FOR,Bronx,"Citizens Advice Bureau, Inc.",(718) 402-8481,High School,350 Gerard Avenue,10451,40.815938,-73.930386
91,92,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Haitian American (Bedford Ave),Brooklyn,Haitian American ,(718) 756-0253,OST,1491 Bedford Avenue,11216,40.671739,-73.954672
92,93,"Family Support,NDA Programs",Fatherhood Initiative,Ralph Lincoln Service Center ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,16 to 24,261 Buffalo Avenue,11213,40.669990999999996,-73.925427
93,94,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 2 MEYER LONDON SCHOOL,Manhattan,Chinese American Planning Council,(212) 587-0912,Elementary,122 Henry Street,10002,40.713273,-73.991339
95,96,"Family Support,NDA Programs", Housing,Rego Park Center,Queens,PS 015 PATRICK F. DALY (K015),(718) 592-5757,Adults,93 29 Queens Boulevard,11374,40.73147,-73.86604399999999
97,98,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,5006 8th Avenue,11220,40.641014,-74.003834
98,99,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 8 ROBERT FULTON SCHOOL,Brooklyn,YMCA of Greater New York/Dodge YMCA,(718) 834-6722,OST,37 HICKS STREET,11201,40.70071,-73.993241
99,100,After-School Programs,Out of School Time,Eastchester Community Center,Bronx,Inwood House,(718) 943-0520,Middle School,3016 Yates Avenue,10469,40.870125,-73.854588
101,102,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA TAYLOR-WYTHE AVENUE HOUSES,Brooklyn,El Puente De Williamsburg @Taylor-Wythe Community Center,(718) 333-0575,6 and up,80 Clymer Street,11249,40.705037,-73.965992
102,103,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 71 FOREST SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,62 85 Forest Avenue,11385,40.711203000000005,-73.905286
103,104,"Jobs & Internships,Youth Employment",Summer Youth Employment ,East NY Development Corporation,Brooklyn,East NY Development Corporation,718-566-2129,14 to 24,2644 Atlantic Avenue,11207,40.675744,-73.896644
104,105,"Immigration Services,Immigrant Support Services",Legal Assistance Program,El Centro de Hospitalidad ,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",718-420-6466 646-772-0096,All Ages,1546 Castleton Avenue,10302,40.63586,-74.134431
105,106,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Crown Heights Jewish Community Council,Brooklyn,IS 281 JOSEPH B CAVALLARO (K281),(718) 771-8808,Seniors,387 Kingston Ave,11225,40.665708,-73.942532
106,107,After-School Programs,Out of School Time,YM-YWHA Inwood,Manhattan,YM-YWHA of Washington Heights Inwood,(212) 569-6200,High School,54 Nagle Avenue,10040,40.859992999999996,-73.929129
107,108,After-School Programs,Out of School Time,P.S. 295 P.S. 295,Brooklyn,YMCA of Greater New York/Prospect Park,(718) 965-0390,Elementary,330 18th Street,11215,40.660976,-73.988297
108,109,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights-Elmhust Kehilah,Queens,"Jackson Heights-Elmhust Kehilah, Inc.",718.457.4591,ESOL/Civics,33 47 91st Street (Jackson Heights,11372,40.755586,-73.876834
109,110,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Flatbush Action,Brooklyn,"Flatbush Action Community Day Care Center, Inc.",(718) 693-9891,Elementary,525 Parkside Avenue,11226,40.655937,-73.955515
110,111,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 306 ETHAN ALLEN SCHOOL,Brooklyn,Brooklyn Bureau of Community Services,(718) 649-4119,Elementary,970 Vermont Street,11207,40.655997,-73.886547
111,112,After-School Programs,Out of School Time,P.S. 22 THOMAS JEFFERSON SCHOOL,Queens,The Korean American Family Service Center,(718) 539-6497,Elementary,153 33 Sanford Avenue,11355,40.761249,-73.811808
112,113,"Jobs & Internships,Youth Employment",Summer Youth Employment ,National Society for Hebrew Day School,Brooklyn,National Society for Hebrew Day School,718-252-4446 ,14 to 24,1545 Coney Island Avenue,11230,40.619583,-73.96418100000001
113,114,After-School Programs,Out of School Time,M.S. 136 M.S. 136 - CHARLES O.,Brooklyn,SCO Family of Services,(718) 788-3500,MS/HS,4004 Fourth Avenue,11232,40.651977,-74.006862
115,116,After-School Programs,Beacon,Grand Street Campus,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718.302.5930,6 and up,850 Grand Street,11211,40.712184,-73.939722
116,117,After-School Programs,Out of School Time,P.S. 166 HENRY GRADSTEIN SCHOOL,Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",(718) 361-2341,Elementary,33 09 35th Avenue,11106,40.757309,-73.926733
117,118,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"New Spirit II, Inc. -- Youth Center",Queens,"New Spirit II, Inc.",718.712.1100,High School,162 04 South Road,11433,40.699445000000004,-73.794329
118,119,"After-School Programs,Summer Program,Summer Camp",Out of School Time,School for Democracy,Brooklyn,Community Counseling and Mediation,(718) 230-5100,OST,600 Kingston Avenue,11203,40.658893,-73.942458
119,120,After-School Programs,Out of School Time,HS for Legal Studies,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,850 Grand Street,11211,40.712184,-73.939722
120,121,After-School Programs,Out of School Time,P.S. 234 P.S. 234,Queens,"Sports and Arts In Schools Foundation, Inc.",(917) 509-1271,Elementary,30 15 29th Street,11102,40.767305,-73.92324599999999
121,122,After-School Programs,Out of School Time,P.S./I.S. 89 CYPRESS HILLS COM,Brooklyn,Cypress Hills Local Development Corporation,(718) 277-3522,Elementary,350 Linwood Street,11208,40.677104,-73.883433
122,123,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,475 Victory Boulevard,10301,40.630635,-74.088475
123,124,After-School Programs,Out of School Time,J.H.S. 157 STEPHEN HALSEY SCHOOL,Queens,"Queens Community House, Inc",(718) 592-5757,High School,102 01 64th Avenue,11375,40.731840999999996,-73.853328
124,125,After-School Programs,Out of School Time,P.S. 32 SAMUEL MILLS SPROLE,Brooklyn,Good Shepherd Services,(718) 625-5876,Elementary,317 Hoyt Street,11231,40.680445,-73.991949
125,126,After-School Programs,Beacon,Dr. Charles R. Drew Educational Complex,Bronx,Directions for Our Youth,718.293.4344,6 and up,3630 3rd Avenue,10456,40.833511,-73.90449
126,127,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,283 Prospect Avenue,11215,40.663323,-73.989165
127,128,After-School Programs,Out of School Time,P.S. 132 JUAN PABLO DUARTE SCHOOL,Manhattan,"Alianza Dominicana, Inc.",(917) 470-8957,Elementary,185 Wadsworth Avenue,10033,40.850626,-73.934377
128,129,After-School Programs,Out of School Time,J.H.S. 189 DANIEL CARTER BEARD,Queens,YMCA of Greater New York/Flushing,(718) 961-6014,High School,144 80 Barclay Avenue,11355,40.759844,-73.820548
129,130,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 33 TIMOTHY DWIGHT SCHOOL,Bronx,"Learning Thru An Expanded Arts Program, Inc.",(718) 563-4268,OST,2424 Jerome Avenue,10468,40.86185,-73.90176
130,131,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005),Queens,August Martin High School,(718) 784-6173, High School,50 40 JACOBUS STREET,11373,40.737718,-73.887429
131,132,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 110 MONITOR SCHOOL,Brooklyn,North Brooklyn Development Corp,(718) 501-2861,OST,124 Monitor Street,11222,40.723896999999994,-73.942312
132,133,After-School Programs,Teen Action Program,PS 018 JOHN G WHITTIER (R018),Staten Island,"United Activities Unlimited, Inc.",718.448.0477,13 to 21,221 Broadway,10310,40.636587,-74.117509
133,134,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA BAY VIEW HOUSES,Brooklyn,Sesame Flyers  @Bayview Community Center,(718) 968-9621,6 and up,5985 Shore Parkway,11236,40.632639000000005,-73.883788
134,135,After-School Programs,Out of School Time,Jacob A. Riis,Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",(718) 784-7447,Elementary,10 25 41st Avenue,11101,40.755488,-73.945328
135,136,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 16 LEONARD DUNKLY SCHOOL,Brooklyn,YMCA of Greater New York/Greenpoint,(718) 389-3700,OST,157 WILSON STREET,11211,40.706022999999995,-73.961476
136,137,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,7802 Bay Parkway,11214,40.606369,-73.989235
137,138,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,St. Dominic School,Bronx,MBD Community Housing Corp,(64) 686-6102,Middle School,1684 White Plains Road,10462,40.843523,-73.865496
138,139,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 153 HOMECREST SCHOOL,Brooklyn,Chinese American Planning Council,(718) 627-6373,Elementary,1970 Homecrest Avenue,11229,40.601617,-73.959779
