"","location_code","location_name","Location_Category_Description","primary_address_line_1","State_code","LONGITUDE","LATITUDE","NTA_Name","Principal_phone_number","fax_number","community_school_sup_name"
"39","K038","P.S. 038 The Pacific","Elementary","450 PACIFIC STREET","NY","-73.982826","40.684945","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","718-330-9305","718-802-9542","SKOP, ANITA"
"40","K039","P.S. 039 Henry Bristow","Elementary","417 6 AVENUE","NY","-73.982909","40.668644","Park Slope-Gowanus","718-330-9310","718-832-2010","SKOP, ANITA"
"41","K040","P.S. 040 George W. Carver","Elementary","265 RALPH AVENUE","NY","-73.921099","40.680239","Stuyvesant Heights","718-574-2353","718-453-0686","MARTIN, YOLANDA"
"42","K041","P.S. 041 Francis White","K-8","411 THATFORD AVENUE","NY","-73.906925","40.660455","Brownsville","718-495-7732","718-346-2141","PATE, MIATHERESA"
"43","K041","P.S. 041 Francis White","K-8","411 THATFORD AVENUE","NY","-73.906925","40.660455","Brownsville","718-495-7732","718-346-2141","PATE, MIATHERESA"
"44","K044","P.S. 044 Marcus Garvey","Elementary","432 MONROE STREET","NY","-73.940859","40.686213","Stuyvesant Heights","718-834-6939","718-574-8501","SAMUELS, KAMAR"
"45","K045","P.S./I.S. 045 Horace E. Greene","K-8","84 SCHAEFER STREET","NY","-73.91043","40.686424","Bushwick South","718-642-5360","718-574-1043","GORSKI, SHEILA"
"46","K046","P.S. 046 Edward C. Blum","Elementary","100 CLERMONT AVENUE","NY","-73.971644","40.69453","Fort Greene","718-834-7694","718-243-0726","SAMUELS, KAMAR"
"47","K048","P.S. 048 Mapleton","Elementary","6015 18 AVENUE","NY","-73.987165","40.621481","Borough Park","718-232-3873","718-232-3451","COSTANTINO, KARINA"
"48","K049","J.H.S. 049 William J. Gaynor","Junior High-Intermediate-Middle","223 GRAHAM AVENUE","NY","-73.9436","40.71","East Williamsburg","718-387-7697","718-302-2318","James Quail"
"49","K050","J.H.S. 050 John D. Wells","Junior High-Intermediate-Middle","183 SOUTH  3 STREET","NY","-73.960137","40.711915","North Side-South Side","718-387-4184","718-302-2320","WINNICKI, ALICJA"
"50","K051","M.S. 51 William Alexander","Junior High-Intermediate-Middle","350 5 AVENUE","NY","-73.98505","40.672358","Park Slope-Gowanus","718-369-7603","718-499-4948","SKOP, ANITA"
"51","K052","P.S. 052 Sheepshead Bay","Elementary","2675 EAST  29 STREET","NY","-73.940135","40.588372","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","718-648-0882","718-648-4636","BOVE, JULIA"
"52","K053","P.S. K053","K-12 all grades","544 7TH AVENUE","NY","-73.988743","40.660805","Sunset Park West","718-832-3563","718-965-1734","LOUISSAINT, KETLER"
"53","K054","P.S. 054 Samuel C. Barnes","Elementary","195 SANDFORD STREET","NY","-73.952504","40.692616","Bedford","718-834-6752","718-852-8129","SAMUELS, KAMAR"
"54","K055","I.S. 055 Ocean Hill Brownsville","Junior High-Intermediate-Middle","2021 BERGEN STREET","NY","-73.9133","40.6741","Ocean Hill","718-495-7736","718-270-8725","Donald Conyers"
"55","K056","P.S. 056 Lewis H. Latimer","Elementary","170 GATES AVENUE","NY","-73.960536","40.684286","Clinton Hill","718-857-3149","718-783-7379","SAMUELS, KAMAR"
"56","K057","Whitelaw Reid Academy of Arts and Business","Junior High-Intermediate-Middle","125 STUYVESANT AVENUE","NY","-73.932254","40.691467","Stuyvesant Heights","718-574-2357","718-453-0577","MARTIN, YOLANDA"
"57","K058","P.S. 058 The Carroll","Elementary","330 SMITH STREET","NY","-73.995486","40.680379","Carroll Gardens-Columbia Street-Red Hook","718-330-9322","718-596-2969","SKOP, ANITA"
"58","K059","P.S. 059 William Floyd","Elementary","211 THROOP AVENUE","NY","-73.943279","40.697619","Stuyvesant Heights","718-443-3600","718-574-6634","WINNICKI, ALICJA"
"59","K061","M.S. 061 Dr. Gladstone H. Atwell","Junior High-Intermediate-Middle","400 EMPIRE BOULEVARD","NY","-73.949198","40.663605","Prospect Lefferts Gardens-Wingate","718-774-1002","718-467-4335","ELLIS, CLARENCE"
"60","K062","J.H.S. 062 Ditmas","Junior High-Intermediate-Middle","700 CORTELYOU ROAD","NY","-73.971153","40.638087","Kensington-Ocean Parkway","718-941-5450","718-693-7433","COSTANTINO, KARINA"
"61","K065","P.S. 065","Elementary","696 JAMAICA AVENUE","NY","-73.878353","40.686534","Cypress Hills-City Line","718-235-2223","718-235-2033","THOMAS MCBRYDE JR"
"62","K066","P.S. 66","K-8","845 EAST  96 STREET","NY","-73.907064","40.648749","Canarsie","718-922-3505","718-922-3105","WILKINS, BEVERLY"
"63","K067","P.S. 067 Charles A. Dorsey","Elementary","51 SAINT EDWARDS STREET","NY","-73.977674","40.695339","Fort Greene","718-834-6756","718-834-6719","SAMUELS, KAMAR"
"64","K068","I.S. 068 Isaac Bildersee","Junior High-Intermediate-Middle","956 EAST  82 STREET","NY","-73.911215","40.635388","Canarsie","718-241-4800","718-241-5582","WILKINS, BEVERLY"
"65","K069","P.S. 69 Vincent D. Grippo School","Elementary","6302 9TH AVENUE","NY","-74.009752","40.632392","Sunset Park East","718-630-3899","718-630-3894","COSTANTINO, KARINA"
"66","K069","P.S. 69 Vincent D. Grippo School","Elementary","6302 9TH AVENUE","NY","-74.009752","40.632392","Sunset Park East","718-630-3899","718-630-3894","COSTANTINO, KARINA"
"67","K071","Juan Morel Campos Secondary School","Secondary School","215 HEYWARD STREET","NY","-73.953304","40.703996","Williamsburg","718-302-7900","718-302-7979","WINNICKI, ALICJA"
"68","K072","P.S./I.S. 072 Annette P Goldman","K-8","605 SHEPHERD AVENUE","NY","-73.879131","40.669358","East New York","718-345-4100","718-927-2160","MILLS, ROSE MARIE"
"69","K073","P.S. 073 Thomas S. Boyland","K-8","251 MCDOUGAL STREET","NY","-73.910719","40.680679","Ocean Hill","718-573-0288","718-455-1835","PATE, MIATHERESA"
"70","K075","P.S. 075 Mayda Cortiella","Elementary","95 GROVE STREET","NY","-73.921336","40.693261","Bushwick South","718-574-0244","718-574-1051","GORSKI, SHEILA"
"71","K077","P.S. K077","K-12 all grades","62 PARK PLACE","NY","-73.976648","40.678809","Park Slope-Gowanus","718-789-1191","718-857-2667","LOUISSAINT, KETLER"
"72","K078","J.H.S. 078 Roy H. Mann","Junior High-Intermediate-Middle","1420 EAST  68 STREET","NY","-73.912914","40.620537","Georgetown-Marine Park-Bergen Beach-Mill Basin","718-763-4701","718-251-3439","BOVE, JULIA"
"73","K081","P.S. 081 Thaddeus Stevens","Elementary","990 DEKALB AVENUE","NY","-73.935123","40.692866","Stuyvesant Heights","718-574-2365","718-919-9872","MARTIN, YOLANDA"
"74","K084","P.S. 084 Jose De Diego","K-8","250 BERRY STREET","NY","-73.963808","40.715089","North Side-South Side","718-384-8063","718-302-2313","WINNICKI, ALICJA"
"75","K086","P.S. 086 The Irvington","Elementary","220 IRVING AVENUE","NY","-73.917804","40.700595","Bushwick North","718-574-0252","718-919-1839","GORSKI, SHEILA"
"76","K088","J.H.S. 088 Peter Rouget","Junior High-Intermediate-Middle","544 7TH AVENUE","NY","-73.988743","40.660805","Sunset Park West","718-788-4482","718-768-0213","SKOP, ANITA"
"77","K089","P.S. 089 Cypress Hills","K-8","265 WARWICK STREET","NY","-73.886712","40.677707","East New York","718-964-1180","718-964-1185","THOMAS MCBRYDE JR"
"78","K090","P.S. 90 Edna Cohen School","Elementary","2840 WEST  12 STREET","NY","-73.980387","40.578192","West Brighton","718-787-3333","718-787-3335","DIMOLA, ISABEL"
"79","K091","P.S. 091 The Albany Avenue School","Elementary","532 ALBANY AVENUE","NY","-73.940707","40.661806","Prospect Lefferts Gardens-Wingate","718-756-0243","718-221-1316","ELLIS, CLARENCE"
"80","K092","P.S. 092 Adrian Hegeman","Elementary","601 PARKSIDE AVENUE","NY","-73.95381","40.656276","Prospect Lefferts Gardens-Wingate","718-462-2087","718-284-8289","ELLIS, CLARENCE"
"81","K093","P.S. 093 William H. Prescott","Elementary","31 NEW YORK AVENUE","NY","-73.946381","40.679079","Crown Heights North","718-604-7363","718-771-1369","SAMUELS, KAMAR"
"82","K094","P.S. 094 The Henry Longfellow","Elementary","5010 6 AVENUE","NY","-74.008795","40.64373","Sunset Park East","718-435-6034","718-871-6251","SKOP, ANITA"
"83","K095","P.S. 095 The Gravesend","K-8","345 VAN SICKLEN STREET","NY","-73.974664","40.595996","Gravesend","718-449-5050","718-449-3047","DIMOLA, ISABEL"
"84","K096","I.S. 096 Seth Low","Junior High-Intermediate-Middle","99 AVENUE P","NY","-73.984985","40.608135","Bensonhurst East","718-236-1344","718-236-2397","DIMOLA, ISABEL"
"85","K097","P.S. 97 The Highlawn","Elementary","1855 STILLWELL AVENUE","NY","-73.98557","40.601191","Bensonhurst East","718-627-7550","718-627-7555","DIMOLA, ISABEL"
"86","K098","I.S. 98 Bay Academy","Junior High-Intermediate-Middle","1401 EMMONS AVENUE","NY","-73.954047","40.583893","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","718-891-9005","718-646-7250","DIMOLA, ISABEL"
"87","K099","P.S. 099 Isaac Asimov","K-8","1120 EAST  10 STREET","NY","-73.966031","40.621474","Ocean Parkway South","718-338-9201","718-951-0418","DIMOLA, ISABEL"
"88","K100","P.S. 100 The Coney Island School","Elementary","2951 WEST  3 STREET","NY","-73.97083","40.577591","West Brighton","718-382-2760","718-382-2765","DIMOLA, ISABEL"
"89","K101","P.S. 101 The Verrazano","Elementary","2360 BENSON AVENUE","NY","-73.991962","40.597379","Bensonhurst East","718-372-0221","718-372-1873","DIMOLA, ISABEL"
"90","K102","P.S. 102 The Bayview","Elementary","211 72 STREET","NY","-74.028758","40.634318","Bay Ridge","718-748-7404","718-836-9265","COSTANTINO, KARINA"
"91","K103","Satellite Three","Junior High-Intermediate-Middle","170 GATES AVENUE","NY","-73.960536","40.684286","Clinton Hill","718-789-5835","718-789-5814","FREEMAN, BARBARA"
"92","K104","P.S./I.S. 104 The Fort Hamilton School","K-8","9115 5 AVENUE","NY","-74.028492","40.618077","Bay Ridge","718-836-4630","718-836-9412","COSTANTINO, KARINA"
"93","K105","P.S. 105 The Blythebourne","Elementary","1031 59 STREET","NY","-74.003635","40.63332","Borough Park","718-438-3230","718-853-9633","COSTANTINO, KARINA"
"94","K106","P.S. 106 Edward Everett Hale","Elementary","1328 PUTNAM AVENUE","NY","-73.913378","40.693318","Bushwick South","718-574-0261","718-574-1054","GORSKI, SHEILA"
"95","K107","P.S. 107 John W. Kimball","Elementary","1301 8 AVENUE","NY","-73.981181","40.662945","Park Slope-Gowanus","718-499-2054","718-499-4019","SKOP, ANITA"
"96","K108","P.S. 108 Sal Abbracciamento","Elementary","200 LINWOOD STREET","NY","-73.884348","40.681295","Cypress Hills-City Line","718-277-7010","718-827-4137","THOMAS MCBRYDE JR"
"97","K109","P.S. 109","K-8","1001 EAST  45 STREET","NY","-73.933099","40.635842","East Flatbush-Farragut","718-693-3426","718-693-3072","BOVE, JULIA"
"98","K109","P.S. 109","K-8","1001 EAST  45 STREET","NY","-73.933099","40.635842","East Flatbush-Farragut","718-693-3426","718-693-3072","BOVE, JULIA"
"99","K110","P.S. 110 The Monitor","Elementary","124 MONITOR STREET","NY","-73.941926","40.723743","Greenpoint","718-383-7600","718-383-5053","WINNICKI, ALICJA"
"100","K112","P.S. 112 Lefferts Park","Elementary","7115 15 AVENUE","NY","-74.000565","40.619417","Bensonhurst West","718-232-0685","718-232-3609","COSTANTINO, KARINA"
"101","K113","M.S. 113 Ronald Edmonds Learning Center","Junior High-Intermediate-Middle","300 ADELPHI STREET","NY","-73.971474","40.688769","Fort Greene","718-834-6734","718-596-2802","SAMUELS, KAMAR"
"102","K114","P.S. 114 Ryder Elementary","Elementary","1077 REMSEN AVENUE","NY","-73.90788","40.642684","Canarsie","718-257-4428","718-649-5216","WILKINS, BEVERLY"
"103","K115","P.S. 115 Daniel Mucatel School","Elementary","1500 EAST  92 STREET","NY","-73.897896","40.634861","Canarsie","718-241-1000","718-209-1714","WILKINS, BEVERLY"
"104","K116","P.S. 116 Elizabeth L Farrell","Elementary","515 KNICKERBOCKER AVENUE","NY","-73.916563","40.698077","Bushwick North","718-821-4623","718-821-0363","GORSKI, SHEILA"
"105","K117","J.H.S. 117 Francis Scott Key","Junior High-Intermediate-Middle","300 WILLOUGHBY AVENUE","NY","-73.9588","40.6926","Clinton Hill","718-230-5400","718-622-3570","James Machen"
"106","K118","The Maurice Sendak Community School","Elementary","211 8TH STREET","NY","-73.987602","40.671145","Park Slope-Gowanus","718-840-5660","718-840-5666","SKOP, ANITA"
"107","K119","P.S. 119 Amersfort","Elementary","3829 AVENUE K","NY","-73.938733","40.626038","Flatlands","718-377-7696","718-338-0694","BOVE, JULIA"
"108","K120","P.S. 120 Carlos Tapia","Elementary","18 BEAVER STREET","NY","-73.937888","40.700819","Bushwick South","718-455-1000","718-574-6637","WINNICKI, ALICJA"
"109","K121","P.S. 121 Nelson A. Rockefeller","K-8","5301 20 AVENUE","NY","-73.978472","40.622671","Borough Park","718-377-8845","718-252-4075","DIMOLA, ISABEL"
"110","K122","Pathways in Technology Early College High School (","High school","150 ALBANY AVENUE","NY","-73.939282","40.675905","Crown Heights North","718-221-1593","718-221-1781","NULL"
"111","K123","P.S. 123 Suydam","Elementary","100 IRVING AVENUE","NY","-73.922388","40.704076","Bushwick North","718-821-4810","718-821-0858","GORSKI, SHEILA"
"112","K124","P.S. 124 Silas B. Dutcher","Elementary","515 4 AVENUE","NY","-73.99062","40.667464","Park Slope-Gowanus","718-788-0246","718-965-9558","SKOP, ANITA"
"113","K125","Success Academy Charter School - Bed-Stuy 2","Elementary","211 THROOP AVENUE","NY","-73.943279","40.697619","Stuyvesant Heights","718-704-1439","646-349-3972","NULL"
"114","K126","John Ericsson Middle School 126","Junior High-Intermediate-Middle","424 LEONARD STREET","NY","-73.947932","40.719818","Greenpoint","718-782-2527","718-302-2319","WINNICKI, ALICJA"
"115","K127","P.S. 127 Mckinley Park","Elementary","7805 7 AVENUE","NY","-74.018429","40.623687","Dyker Heights","718-833-2323","718-836-9427","COSTANTINO, KARINA"
"116","K128","P.S. 128 Bensonhurst","Elementary","2075 84 STREET","NY","-73.995084","40.60498","Bensonhurst West","718-373-5900","718-266-6254","DIMOLA, ISABEL"
"117","K129","Success Academy Charter School - Cobble Hill","K-8","284 BALTIC STREET","NY","-73.993293","40.685006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","718-704-1460","646-478-9383","NULL"
"118","K130","P.S. 130 The Parkside","Elementary","70 OCEAN PARKWAY","NY","-73.976053","40.648924","Windsor Terrace","718-686-1940","718-854-9756","SKOP, ANITA"
"119","K131","P.S. 131 Brooklyn","Elementary","4305 FT HAMILTON PARKWAY","NY","-73.993247","40.640728","Borough Park","718-431-1960","718-431-1970","SKOP, ANITA"
"120","K132","P.S. 132 The Conselyea School","Elementary","320 MANHATTAN AVENUE","NY","-73.945663","40.714772","East Williamsburg","718-599-7301","718-599-7417","WINNICKI, ALICJA"
"121","K133","P.S. 133 William A. Butler","Elementary","610 BALTIC STREET","NY","-73.980455","40.679916","Park Slope-Gowanus","718-398-5320","718-385-5325","SAMUELS, KAMAR"
"122","K134","P.S. K134","Elementary","4001 18 AVENUE","NY","-73.97318","40.632145","Flatbush","718-436-7200","718-686-2205","BOVE, JULIA"
"123","K135","P.S. 135 Sheldon A. Brookner","Elementary","684 LINDEN BOULEVARD","NY","-73.932949","40.653093","East Flatbush-Farragut","718-693-4363","718-941-0847","WILKINS, BEVERLY"
"124","K136","I.S. 136 Charles O. Dewey","Junior High-Intermediate-Middle","4004 4 AVENUE","NY","-74.007596","40.652127","Sunset Park West","718-840-1950","718-840-1955","SKOP, ANITA"
"125","K137","P.S./I.S. 137 Rachel Jean Mitchell","Elementary","121 SARATOGA AVENUE","NY","-73.916641","40.682248","Ocean Hill","718-453-2926","718-453-5363","PATE, MIATHERESA"
"126","K138","P.S. 138 Brooklyn","K-8","760 PROSPECT PLACE","NY","-73.951559","40.673943","Crown Heights North","718-467-0800","718-953-3422","ELLIS, CLARENCE"
"127","K138","P.S. 138 Brooklyn","K-8","760 PROSPECT PLACE","NY","-73.951559","40.673943","Crown Heights North","718-467-0800","718-953-3422","ELLIS, CLARENCE"
"128","K139","P.S. 139 Alexine A. Fenty","Elementary","330 RUGBY ROAD","NY","-73.965862","40.64134","Flatbush","718-282-5254","718-940-1205","BOVE, JULIA"
"129","K140","P.S. K140","K-8","141 MACON STREET","NY","-73.9456","40.68192","Bedford","718-783-4842","718-783-4869","LOUISSAINT, KETLER"
"130","K141","P.S. K141","K-12 all grades","655 PARKSIDE AVENUE","NY","-73.951575","40.656423","Prospect Lefferts Gardens-Wingate","718-941-0320","718-941-3152","LOUISSAINT, KETLER"
"131","K142","JHS 142","Junior High-Intermediate-Middle","610 HENRY STREET","NY","-74.0014","40.6801","Carroll Gardens-Columbia Street-Red Hook","718-923-4600","718-923-4620","Rosemary Stuart"
"132","K143","M.S. 143 Performing & Fine Arts","Junior High-Intermediate-Middle","800 GATES AVENUE","NY","-73.932","40.6883","Stuyvesant Heights","718-574-2424","718-453-0383","Evelyn Santiago"
"133","K145","P.S. 145 Andrew Jackson","Elementary","100 NOLL STREET","NY","-73.932388","40.701107","Bushwick South","718-821-4823","718-417-3453","GORSKI, SHEILA"
"134","K146","The Brooklyn New School, P.S. 146","Elementary","610 HENRY STREET","NY","-74.002022","40.679462","Carroll Gardens-Columbia Street-Red Hook","718-923-4750","718-923-4780","SKOP, ANITA"
"135","K147","P.S. 147 Isaac Remsen","Elementary","325 BUSHWICK AVENUE","NY","-73.93879","40.705005","Bushwick South","718-497-0326","718-628-4988","WINNICKI, ALICJA"
"136","K149","P.S. 149 Danny Kaye","Elementary","700 SUTTER AVENUE","NY","-73.89276","40.669361","East New York (Pennsylvania Ave)","718-688-7620","718-345-8118","THOMAS MCBRYDE JR"
"137","K150","P.S. 150 Christopher","Elementary","364 SACKMAN STREET","NY","-73.90514","40.668768","Brownsville","718-495-7746","718-922-3785","PATE, MIATHERESA"
"138","K151","P.S. 151 Lyndon B. Johnson","Elementary","763 KNICKERBOCKER AVENUE","NY","-73.908242","40.693432","Bushwick North","718-326-6360","718-326-6364","GORSKI, SHEILA"
"139","K152","School of Science & Technology","Elementary","725 EAST  23 STREET","NY","-73.954269","40.632619","Flatbush","718-434-5222","718-859-5965","BOVE, JULIA"
"140","K152","School of Science & Technology","Elementary","725 EAST  23 STREET","NY","-73.954269","40.632619","Flatbush","718-434-5222","718-859-5965","BOVE, JULIA"
"141","K153","P.S. 153 Homecrest","Elementary","1970 HOMECREST AVENUE","NY","-73.960027","40.601179","Homecrest","718-375-4484","718-375-4439","DIMOLA, ISABEL"
"142","K154","The Windsor Terrace School","Elementary","1625 11 AVENUE","NY","-73.975967","40.657002","Windsor Terrace","718-768-0057","718-832-2573","SKOP, ANITA"
"143","K155","P.S./ I.S. 155 Nicholas Herkimer","K-8","1355 HERKIMER STREET","NY","-73.908682","40.677634","Ocean Hill","718-240-4340","718-345-9064","PATE, MIATHERESA"
"144","K156","P.S. 156 Waverly","Elementary","104 SUTTER AVENUE","NY","-73.91788","40.665553","Brownsville","718-498-2811","718-346-2804","PATE, MIATHERESA"
"145","K157","P.S./I.S. 157 The Benjamin Franklin Health & Scien","K-8","850 KENT AVENUE","NY","-73.959999","40.695397","Bedford","718-622-9285","718-398-4155","WINNICKI, ALICJA"
"146","K158","P.S. 158 Warwick","Elementary","400 ASHFORD STREET","NY","-73.885214","40.67259","East New York","718-277-6116","718-827-4300","THOMAS MCBRYDE JR"
"147","K159","P.S. 159 Isaac Pitkin","Elementary","2781 PITKIN AVENUE","NY","-73.869705","40.676111","East New York","718-277-4828","718-827-4531","THOMAS MCBRYDE JR"
"148","K160","P.S. 160 William T. Sampson","Elementary","5105 Fort Hamilton Parkway","NY","-73.999045","40.636932","Borough Park","718-438-0337","718-871-7920","COSTANTINO, KARINA"
"149","K161","P.S. 161 The Crown","Elementary","330 CROWN STREET","NY","-73.949243","40.665757","Crown Heights South","718-756-3100","718-953-3605","ELLIS, CLARENCE"
"150","K162","J.H.S. 162 The Willoughby","Junior High-Intermediate-Middle","1390 WILLOUGHBY AVENUE","NY","-73.919643","40.706816","Bushwick North","718-821-4860","718-821-1728","GORSKI, SHEILA"
"151","K163","P.S. 163 Bath Beach","K-8","109 BAY 14TH STREET","NY","-74.007469","40.606739","Bath Beach","718-236-9003","718-259-3042","COSTANTINO, KARINA"
